,EventTemplate
787,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
788,Session: <*>_<*> initialized by client WindowsUpdateAgent.
789,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
790,Session: <*>_<*> initialized by client WindowsUpdateAgent.
791,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
792,Session: <*>_<*> initialized by client WindowsUpdateAgent.
793,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
794,Session: <*>_<*> initialized by client WindowsUpdateAgent.
795,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
796,Session: <*>_<*> initialized by client WindowsUpdateAgent.
797,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
798,Session: <*>_<*> initialized by client WindowsUpdateAgent.
799,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
800,Session: <*>_<*> initialized by client WindowsUpdateAgent.
801,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
802,Session: <*>_<*> initialized by client WindowsUpdateAgent.
803,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
804,Session: <*>_<*> initialized by client WindowsUpdateAgent.
805,Session: <*>_<*> initialized by client WindowsUpdateAgent.
806,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
807,Session: <*>_<*> initialized by client WindowsUpdateAgent.
808,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
809,Session: <*>_<*> initialized by client WindowsUpdateAgent.
810,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
811,Session: <*>_<*> initialized by client WindowsUpdateAgent.
812,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
813,Session: <*>_<*> initialized by client WindowsUpdateAgent.
814,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
815,Session: <*>_<*> initialized by client WindowsUpdateAgent.
816,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
817,Session: <*>_<*> initialized by client WindowsUpdateAgent.
818,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
819,Session: <*>_<*> initialized by client WindowsUpdateAgent.
820,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
821,Session: <*>_<*> initialized by client WindowsUpdateAgent.
822,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
823,Session: <*>_<*> initialized by client WindowsUpdateAgent.
824,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
825,Session: <*>_<*> initialized by client WindowsUpdateAgent.
826,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
827,Session: <*>_<*> initialized by client WindowsUpdateAgent.
828,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
829,Session: <*>_<*> initialized by client WindowsUpdateAgent.
830,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
831,Session: <*>_<*> initialized by client WindowsUpdateAgent.
832,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
833,Session: <*>_<*> initialized by client WindowsUpdateAgent.
834,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
835,Session: <*>_<*> initialized by client WindowsUpdateAgent.
836,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
837,Session: <*>_<*> initialized by client WindowsUpdateAgent.
838,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
839,Session: <*>_<*> initialized by client WindowsUpdateAgent.
840,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
841,Session: <*>_<*> initialized by client WindowsUpdateAgent.
842,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
843,Session: <*>_<*> initialized by client WindowsUpdateAgent.
844,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
845,Session: <*>_<*> initialized by client WindowsUpdateAgent.
846,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
847,Session: <*>_<*> initialized by client WindowsUpdateAgent.
848,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
849,Session: <*>_<*> initialized by client WindowsUpdateAgent.
850,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
851,Session: <*>_<*> initialized by client WindowsUpdateAgent.
852,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
853,Session: <*>_<*> initialized by client WindowsUpdateAgent.
854,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
855,Session: <*>_<*> initialized by client WindowsUpdateAgent.
856,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
857,Session: <*>_<*> initialized by client WindowsUpdateAgent.
858,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
859,Session: <*>_<*> initialized by client WindowsUpdateAgent.
860,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
861,Session: <*>_<*> initialized by client WindowsUpdateAgent.
862,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
863,Session: <*>_<*> initialized by client WindowsUpdateAgent.
864,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
865,Session: <*>_<*> initialized by client WindowsUpdateAgent.
866,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
867,Session: <*>_<*> initialized by client WindowsUpdateAgent.
868,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
869,Session: <*>_<*> initialized by client WindowsUpdateAgent.
870,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
871,Session: <*>_<*> initialized by client WindowsUpdateAgent.
872,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
873,Session: <*>_<*> initialized by client WindowsUpdateAgent.
874,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
875,Session: <*>_<*> initialized by client WindowsUpdateAgent.
876,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
877,Session: <*>_<*> initialized by client WindowsUpdateAgent.
878,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
879,Session: <*>_<*> initialized by client WindowsUpdateAgent.
880,Session: <*>_<*> initialized by client WindowsUpdateAgent.
881,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
882,Session: <*>_<*> initialized by client WindowsUpdateAgent.
883,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
884,Session: <*>_<*> initialized by client WindowsUpdateAgent.
885,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
886,Session: <*>_<*> initialized by client WindowsUpdateAgent.
887,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
888,Session: <*>_<*> initialized by client WindowsUpdateAgent.
889,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
890,Session: <*>_<*> initialized by client WindowsUpdateAgent.
891,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
892,Session: <*>_<*> initialized by client WindowsUpdateAgent.
893,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
894,Session: <*>_<*> initialized by client WindowsUpdateAgent.
895,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
896,Session: <*>_<*> initialized by client WindowsUpdateAgent.
897,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
898,Session: <*>_<*> initialized by client WindowsUpdateAgent.
899,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
900,Session: <*>_<*> initialized by client WindowsUpdateAgent.
901,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
902,Session: <*>_<*> initialized by client WindowsUpdateAgent.
903,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
904,Session: <*>_<*> initialized by client WindowsUpdateAgent.
905,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
906,Session: <*>_<*> initialized by client WindowsUpdateAgent.
907,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
908,Session: <*>_<*> initialized by client WindowsUpdateAgent.
909,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
910,Session: <*>_<*> initialized by client WindowsUpdateAgent.
911,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
912,Session: <*>_<*> initialized by client WindowsUpdateAgent.
913,Session: <*>_<*> initialized by client WindowsUpdateAgent.
914,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
915,Session: <*>_<*> initialized by client WindowsUpdateAgent.
916,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
917,Session: <*>_<*> initialized by client WindowsUpdateAgent.
918,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
919,Session: <*>_<*> initialized by client WindowsUpdateAgent.
920,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
921,Session: <*>_<*> initialized by client WindowsUpdateAgent.
922,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
923,Session: <*>_<*> initialized by client WindowsUpdateAgent.
924,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
925,Session: <*>_<*> initialized by client WindowsUpdateAgent.
926,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
927,Session: <*>_<*> initialized by client WindowsUpdateAgent.
928,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
929,Session: <*>_<*> initialized by client WindowsUpdateAgent.
930,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
931,Session: <*>_<*> initialized by client WindowsUpdateAgent.
932,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
933,Session: <*>_<*> initialized by client WindowsUpdateAgent.
934,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
935,Failed to create backup log cab. [HRESULT = <*> - ERROR_INVALID_FUNCTION]
936,Reboot mark refs incremented to: <*>
937,Scavenge: Starts
938,"<*>@<*>/<*>/<*>:<*>:<*>:<*>.<*> CSI Transaction @<*> initialized for deployment engine {<*>} with flags <*> and client id [<*>]""<*>/"""
939,Scavenge: Begin CSI Store
940,<*> Performing <*> operations; <*> are not lock/unlock and follow:
941,"<*> Store coherency cookie matches last scavenge cookie, skipping scavenge."
942,<*> ICSITransaction::Commit calling IStorePendingTransaction::Apply - coldpatching=FALSE applyflags=<*>
943,"<*> Creating NT transaction (seq <*>), objectname [<*>]""(null)"""
944,"<*> Created NT transaction (seq <*>) result <*>, handle @<*>"
945,<*> CSI perf trace:
946,"Scavenge: Completed, disposition: <*>"
947,<*>@<*>/<*>/<*>:<*>:<*>:<*>.<*> CSI Transaction @<*> destroyed
948,Reboot mark refs: <*>
949,Idle processing thread terminated normally
950,Ending the TrustedInstaller main loop.
951,Starting TrustedInstaller finalization.
952,Ending TrustedInstaller finalization.
953,Starting TrustedInstaller initialization.
954,Loaded Servicing Stack <*> with Core: <*>\cbscore.dll
955,<*>@<*>/<*>/<*>:<*>:<*>:<*>.<*> WcpInitialize (wcp.dll version <*>) called (stack @<*>)
956,<*>@<*>/<*>/<*>:<*>:<*>:<*>.<*> WcpInitialize (wcp.dll version <*>) called (stack @<*>)
957,<*>@<*>/<*>/<*>:<*>:<*>:<*>.<*> WcpInitialize (wcp.dll version <*>) called (stack @<*>)
958,Ending TrustedInstaller initialization.
959,Starting the TrustedInstaller main loop.
960,TrustedInstaller service starts successfully.
961,SQM: Initializing online with Windows opt-in: False
962,SQM: Cleaning up report files older than <*> days.
963,SQM: Requesting upload of all unsent reports.
964,"SQM: Failed to start upload with file pattern: <*>, flags: <*> [HRESULT = <*> - E_FAIL]"
965,SQM: Failed to start standard sample upload. [HRESULT = <*> - E_FAIL]
966,"SQM: Queued <*> file(s) for upload with pattern: <*>, flags: <*>"
967,SQM: Warning: Failed to upload all unsent reports. [HRESULT = <*> - E_FAIL]
968,"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending."
969,NonStart: Checking to ensure startup processing was not required.
970,"<*> IAdvancedInstallerAwareStore_ResolvePendingTransactions (call <*>) (flags = <*>, progress = <*>, phase = <*>, pdwDisposition = @<*>"
971,"<*> Creating NT transaction (seq <*>), objectname [<*>]""(null)"""
972,"<*> Created NT transaction (seq <*>) result <*>, handle @<*>"
973,<*> CSI perf trace:
974,"NonStart: Success, startup processing not required as expected."
975,Startup processing thread terminated normally
976,"Loading offline registry hive: <*>, into registry key '<*>' from path '<*>'."
977,"Loading offline registry hive: <*>, into registry key '<*>' from path '<*>'."
978,"Loading offline registry hive: <*>, into registry key '<*>' from path '<*>'."
979,"Loading offline registry hive: <*>, into registry key '<*>' from path '<*>'."
980,"Loading offline registry hive: <*>, into registry key '<*>' from path '<*>'."
981,"Loading offline registry hive: <*>, into registry key '<*>' from path '<*>'."
982,"Loading offline registry hive: <*>, into registry key '<*>' from path '<*>'."
983,"Loading offline registry hive: <*>, into registry key '<*>' from path '<*>'."
984,Offline image is: read-only
985,"Disabling manifest caching, because the image is not writeable."
986,<*>@<*>/<*>/<*>:<*>:<*>:<*>.<*> PopulateComponentFamiliesKey - Begin
987,<*>@<*>/<*>/<*>:<*>:<*>:<*>.<*> PopulateComponentFamiliesKey - End
988,<*> CSI Store <*> (<*>) initialized
989,Session: <*>_<*> initialized by client SPP.
990,Warning: Unrecognized packageExtended attribute.
991,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
992,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
993,Warning: Unrecognized packageExtended attribute.
994,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
995,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
996,Warning: Unrecognized packageExtended attribute.
997,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
998,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
999,Warning: Unrecognized packageExtended attribute.
1000,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1001,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1002,Warning: Unrecognized packageExtended attribute.
1003,Warning: Unrecognized packageExtended attribute.
1004,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1005,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1006,Warning: Unrecognized packageExtended attribute.
1007,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1008,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1009,Warning: Unrecognized packageExtended attribute.
1010,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1011,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1012,Warning: Unrecognized packageExtended attribute.
1013,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1014,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1015,Warning: Unrecognized packageExtended attribute.
1016,Warning: Unrecognized packageExtended attribute.
1017,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1018,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1019,Warning: Unrecognized packageExtended attribute.
1020,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1021,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1022,Warning: Unrecognized packageExtended attribute.
1023,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1024,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1025,Warning: Unrecognized packageExtended attribute.
1026,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1027,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1028,Warning: Unrecognized packageExtended attribute.
1029,Warning: Unrecognized packageExtended attribute.
1030,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1031,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1032,Warning: Unrecognized packageExtended attribute.
1033,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1034,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1035,Warning: Unrecognized packageExtended attribute.
1036,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1037,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1038,Warning: Unrecognized packageExtended attribute.
1039,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1040,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1041,Warning: Unrecognized packageExtended attribute.
1042,Warning: Unrecognized packageExtended attribute.
1043,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1044,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1045,Warning: Unrecognized packageExtended attribute.
1046,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1047,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1048,Warning: Unrecognized packageExtended attribute.
1049,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1050,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1051,Warning: Unrecognized packageExtended attribute.
1052,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1053,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1054,Warning: Unrecognized packageExtended attribute.
1055,Warning: Unrecognized packageExtended attribute.
1056,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1057,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1058,Warning: Unrecognized packageExtended attribute.
1059,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1060,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1061,Warning: Unrecognized packageExtended attribute.
1062,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1063,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1064,Warning: Unrecognized packageExtended attribute.
1065,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1066,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1067,Warning: Unrecognized packageExtended attribute.
1068,Warning: Unrecognized packageExtended attribute.
1069,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1070,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1071,Warning: Unrecognized packageExtended attribute.
1072,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1073,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1074,Warning: Unrecognized packageExtended attribute.
1075,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1076,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1077,Warning: Unrecognized packageExtended attribute.
1078,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1079,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1080,Warning: Unrecognized packageExtended attribute.
1081,Warning: Unrecognized packageExtended attribute.
1082,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1083,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1084,Warning: Unrecognized packageExtended attribute.
1085,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1086,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1087,Warning: Unrecognized packageExtended attribute.
1088,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1089,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1090,Warning: Unrecognized packageExtended attribute.
1091,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1092,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1093,Warning: Unrecognized packageExtended attribute.
1094,Unloading offline registry hive: <*>
1095,Unloading offline registry hive: <*>
1096,Unloading offline registry hive: <*>
1097,Unloading offline registry hive: <*>
1098,Unloading offline registry hive: <*>
1099,Unloading offline registry hive: <*>
1100,Unloading offline registry hive: <*>
1101,Unloading offline registry hive: <*>
1102,Failed to create backup log cab. [HRESULT = <*> - ERROR_INVALID_FUNCTION]
1103,<*> CSI Store <*> (<*>) initialized
1104,Session: <*>_<*> initialized by client WindowsUpdateAgent.
1105,Session: <*>_<*> initialized by client WindowsUpdateAgent.
1106,Warning: Unrecognized packageExtended attribute.
1107,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1108,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1109,Warning: Unrecognized packageExtended attribute.
1110,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1111,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1112,Warning: Unrecognized packageExtended attribute.
1113,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1114,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1115,Warning: Unrecognized packageExtended attribute.
1116,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1117,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1118,Warning: Unrecognized packageExtended attribute.
1119,Warning: Unrecognized packageExtended attribute.
1120,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1121,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1122,Warning: Unrecognized packageExtended attribute.
1123,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1124,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1125,Warning: Unrecognized packageExtended attribute.
1126,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1127,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1128,Warning: Unrecognized packageExtended attribute.
1129,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1130,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1131,Warning: Unrecognized packageExtended attribute.
1132,Warning: Unrecognized packageExtended attribute.
1133,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1134,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1135,Warning: Unrecognized packageExtended attribute.
1136,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1137,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1138,Warning: Unrecognized packageExtended attribute.
1139,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1140,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1141,Warning: Unrecognized packageExtended attribute.
1142,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1143,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1144,Warning: Unrecognized packageExtended attribute.
1145,Warning: Unrecognized packageExtended attribute.
1146,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1147,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1148,Warning: Unrecognized packageExtended attribute.
1149,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1150,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1151,Warning: Unrecognized packageExtended attribute.
1152,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1153,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1154,Warning: Unrecognized packageExtended attribute.
1155,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1156,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1157,Warning: Unrecognized packageExtended attribute.
1158,Warning: Unrecognized packageExtended attribute.
1159,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1160,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1161,Warning: Unrecognized packageExtended attribute.
1162,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1163,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1164,Warning: Unrecognized packageExtended attribute.
1165,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1166,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1167,Warning: Unrecognized packageExtended attribute.
1168,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1169,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1170,Warning: Unrecognized packageExtended attribute.
1171,Warning: Unrecognized packageExtended attribute.
1172,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1173,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1174,Warning: Unrecognized packageExtended attribute.
1175,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1176,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1177,Warning: Unrecognized packageExtended attribute.
1178,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1179,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1180,Warning: Unrecognized packageExtended attribute.
1181,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1182,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
1183,Warning: Unrecognized packageExtended attribute.
